theta,a,b,z,A2,status
30.0,4.0,11.7,3.6,-4.0,NotYet
30.0,4.0,11.7,3.6,-2.0,NotYet
30.0,4.0,11.7,3.6,0.0,NotYet
30.0,4.0,11.7,3.6,2.0,NotYet
30.0,4.0,11.7,3.6,4.0,NotYet
30.0,4.0,11.7,3.6,6.0,NotYet
30.0,4.0,11.7,3.6,8.0,NotYet
30.0,4.0,11.7,3.6,10.0,NotYet
30.0,4.0,11.7,3.6,12.0,NotYet
30.0,4.0,11.7,3.6,14.0,NotYet
30.0,4.0,11.7,3.8,-14.0,NotYet
30.0,4.0,11.7,3.8,-12.0,NotYet
30.0,4.0,11.7,3.8,-10.0,NotYet
30.0,4.0,11.7,3.8,-8.0,NotYet
30.0,4.0,11.7,3.8,-6.0,NotYet
30.0,4.0,11.7,3.8,-4.0,NotYet
30.0,4.0,11.7,3.8,-2.0,NotYet
30.0,4.0,11.7,3.8,0.0,NotYet
30.0,4.0,11.7,3.8,2.0,NotYet
30.0,4.0,11.7,3.8,4.0,NotYet
30.0,4.0,11.7,3.8,6.0,NotYet
30.0,4.0,11.7,3.8,8.0,NotYet
30.0,4.0,11.7,3.8,10.0,NotYet
30.0,4.0,11.7,3.8,12.0,NotYet
30.0,4.0,11.7,3.8,14.0,NotYet
30.0,4.0,11.7,4.0,-14.0,NotYet
30.0,4.0,11.7,4.0,-12.0,NotYet
30.0,4.0,11.7,4.0,-10.0,NotYet
30.0,4.0,11.7,4.0,-8.0,NotYet
30.0,4.0,11.7,4.0,-6.0,NotYet
30.0,4.0,11.7,4.0,-4.0,NotYet
30.0,4.0,11.7,4.0,-2.0,NotYet
30.0,4.0,11.7,4.0,0.0,NotYet
30.0,4.0,11.7,4.0,2.0,NotYet
30.0,4.0,11.7,4.0,4.0,NotYet
30.0,4.0,11.7,4.0,6.0,NotYet
30.0,4.0,11.7,4.0,8.0,NotYet
30.0,4.0,11.7,4.0,10.0,NotYet
30.0,4.0,11.7,4.0,12.0,NotYet
30.0,4.0,11.7,4.0,14.0,NotYet
30.0,4.0,11.7,4.2,-14.0,NotYet
30.0,4.0,11.7,4.2,-12.0,NotYet
30.0,4.0,11.7,4.2,-10.0,NotYet
30.0,4.0,11.7,4.2,-8.0,NotYet
30.0,4.0,11.7,4.2,-6.0,NotYet
30.0,4.0,11.7,4.2,-4.0,NotYet
30.0,4.0,11.7,4.2,-2.0,NotYet
30.0,4.0,11.7,4.2,0.0,NotYet
30.0,4.0,11.7,4.2,2.0,NotYet
30.0,4.0,11.7,4.2,4.0,NotYet
30.0,4.0,11.7,4.2,6.0,NotYet
30.0,4.0,11.7,4.2,8.0,NotYet
30.0,4.0,11.7,4.2,10.0,NotYet
30.0,4.0,11.7,4.2,12.0,NotYet
30.0,4.0,11.7,4.2,14.0,NotYet
30.0,4.0,11.7,4.4,-14.0,NotYet
30.0,4.0,11.7,4.4,-12.0,NotYet
30.0,4.0,11.7,4.4,-10.0,NotYet
30.0,4.0,11.7,4.4,-8.0,NotYet
30.0,4.0,11.7,4.4,-6.0,NotYet
30.0,4.0,11.7,4.4,-4.0,NotYet
30.0,4.0,11.7,4.4,-2.0,NotYet
30.0,4.0,11.7,4.4,0.0,NotYet
30.0,4.0,11.7,4.4,2.0,NotYet
30.0,4.0,11.7,4.4,4.0,NotYet
30.0,4.0,11.7,4.4,6.0,NotYet
30.0,4.0,11.7,4.4,8.0,NotYet
30.0,4.0,11.7,4.4,10.0,NotYet
30.0,4.0,11.7,4.4,12.0,NotYet
30.0,4.0,11.7,4.4,14.0,NotYet
30.0,4.0,11.7,4.6,-14.0,NotYet
30.0,4.0,11.7,4.6,-12.0,NotYet
30.0,4.0,11.7,4.6,-10.0,NotYet
30.0,4.0,11.7,4.6,-8.0,NotYet
30.0,4.0,11.7,4.6,-6.0,NotYet
30.0,4.0,11.7,4.6,-4.0,NotYet
30.0,4.0,11.7,4.6,-2.0,NotYet
30.0,4.0,11.7,4.6,0.0,NotYet
30.0,4.0,11.7,4.6,2.0,NotYet
30.0,4.0,11.7,4.6,4.0,NotYet
30.0,4.0,11.7,4.6,6.0,NotYet
30.0,4.0,11.7,4.6,8.0,NotYet
30.0,4.0,11.7,4.6,10.0,NotYet
30.0,4.0,11.7,4.6,12.0,NotYet
30.0,4.0,11.7,4.6,14.0,NotYet
30.0,4.0,11.7,4.8,-14.0,NotYet
30.0,4.0,11.7,4.8,-12.0,NotYet
30.0,4.0,11.7,4.8,-10.0,NotYet
30.0,4.0,11.7,4.8,-8.0,NotYet
30.0,4.0,11.7,4.8,-6.0,NotYet
30.0,4.0,11.7,4.8,-4.0,NotYet
30.0,4.0,11.7,4.8,-2.0,NotYet
30.0,4.0,11.7,4.8,0.0,NotYet
30.0,4.0,11.7,4.8,2.0,NotYet
30.0,4.0,11.7,4.8,4.0,NotYet
30.0,4.0,11.7,4.8,6.0,NotYet
30.0,4.0,11.7,4.8,8.0,NotYet
30.0,4.0,11.7,4.8,10.0,NotYet
30.0,4.0,11.7,4.8,12.0,NotYet
30.0,4.0,11.7,4.8,14.0,NotYet
30.0,4.0,11.7,5.0,-14.0,NotYet
30.0,4.0,11.7,5.0,-12.0,NotYet
30.0,4.0,11.7,5.0,-10.0,NotYet
30.0,4.0,11.7,5.0,-8.0,NotYet
30.0,4.0,11.7,5.0,-6.0,NotYet
30.0,4.0,11.7,5.0,-4.0,NotYet
30.0,4.0,11.7,5.0,-2.0,NotYet
30.0,4.0,11.7,5.0,0.0,NotYet
30.0,4.0,11.7,5.0,2.0,NotYet
30.0,4.0,11.7,5.0,4.0,NotYet
30.0,4.0,11.7,5.0,6.0,NotYet
30.0,4.0,11.7,5.0,8.0,NotYet
30.0,4.0,11.7,5.0,10.0,NotYet
30.0,4.0,11.7,5.0,12.0,NotYet
30.0,4.0,11.7,5.0,14.0,NotYet
30.0,4.0,11.7,5.2,-14.0,NotYet
30.0,4.0,11.7,5.2,-12.0,NotYet
30.0,4.0,11.7,5.2,-10.0,NotYet
30.0,4.0,11.7,5.2,-8.0,NotYet
30.0,4.0,11.7,5.2,-6.0,NotYet
30.0,4.0,11.7,5.2,-4.0,NotYet
30.0,4.0,11.7,5.2,-2.0,NotYet
30.0,4.0,11.7,5.2,0.0,NotYet
30.0,4.0,11.7,5.2,2.0,NotYet
30.0,4.0,11.7,5.2,4.0,NotYet
30.0,4.0,11.7,5.2,6.0,NotYet
30.0,4.0,11.7,5.2,8.0,NotYet
30.0,4.0,11.7,5.2,10.0,NotYet
30.0,4.0,11.7,5.2,12.0,NotYet
30.0,4.0,11.7,5.2,14.0,NotYet
30.0,4.0,11.7,5.4,-14.0,NotYet
30.0,4.0,11.7,5.4,-12.0,NotYet
30.0,4.0,11.7,5.4,-10.0,NotYet
30.0,4.0,11.7,5.4,-8.0,NotYet
30.0,4.0,11.7,5.4,-6.0,NotYet
30.0,4.0,11.7,5.4,-4.0,NotYet
30.0,4.0,11.7,5.4,-2.0,NotYet
30.0,4.0,11.7,5.4,0.0,NotYet
30.0,4.0,11.7,5.4,2.0,NotYet
30.0,4.0,11.7,5.4,4.0,NotYet
30.0,4.0,11.7,5.4,6.0,NotYet
30.0,4.0,11.7,5.4,8.0,NotYet
30.0,4.0,11.7,5.4,10.0,NotYet
30.0,4.0,11.7,5.4,12.0,NotYet
30.0,4.0,11.7,5.4,14.0,NotYet
30.0,4.0,11.7,5.6,-14.0,NotYet
30.0,4.0,11.7,5.6,-12.0,NotYet
30.0,4.0,11.7,5.6,-10.0,NotYet
30.0,4.0,11.7,5.6,-8.0,NotYet
30.0,4.0,11.7,5.6,-6.0,NotYet
30.0,4.0,11.7,5.6,-4.0,NotYet
30.0,4.0,11.7,5.6,-2.0,NotYet
30.0,4.0,11.7,5.6,0.0,NotYet
30.0,4.0,11.7,5.6,2.0,NotYet
30.0,4.0,11.7,5.6,4.0,NotYet
30.0,4.0,11.7,5.6,6.0,NotYet
30.0,4.0,11.7,5.6,8.0,NotYet
30.0,4.0,11.7,5.6,10.0,NotYet
30.0,4.0,11.7,5.6,12.0,NotYet
30.0,4.0,11.7,5.6,14.0,NotYet
30.0,4.0,11.7,5.8,-14.0,NotYet
30.0,4.0,11.7,5.8,-12.0,NotYet
30.0,4.0,11.7,5.8,-10.0,NotYet
30.0,4.0,11.7,5.8,-8.0,NotYet
30.0,4.0,11.7,5.8,-6.0,NotYet
30.0,4.0,11.7,5.8,-4.0,NotYet
30.0,4.0,11.7,5.8,-2.0,NotYet
30.0,4.0,11.7,5.8,0.0,NotYet
30.0,4.0,11.7,5.8,2.0,NotYet
30.0,4.0,11.7,5.8,4.0,NotYet
30.0,4.0,11.7,5.8,6.0,NotYet
30.0,4.0,11.7,5.8,8.0,NotYet
30.0,4.0,11.7,5.8,10.0,NotYet
30.0,4.0,11.7,5.8,12.0,NotYet
30.0,4.0,11.7,5.8,14.0,NotYet
30.0,4.0,11.7,6.0,-14.0,NotYet
30.0,4.0,11.7,6.0,-12.0,NotYet
30.0,4.0,11.7,6.0,-10.0,NotYet
30.0,4.0,11.7,6.0,-8.0,NotYet
30.0,4.0,11.7,6.0,-6.0,NotYet
30.0,4.0,11.7,6.0,-4.0,NotYet
30.0,4.0,11.7,6.0,-2.0,NotYet
30.0,4.0,11.7,6.0,0.0,NotYet
30.0,4.0,11.7,6.0,2.0,NotYet
30.0,4.0,11.7,6.0,4.0,NotYet
30.0,4.0,11.7,6.0,6.0,NotYet
30.0,4.0,11.7,6.0,8.0,NotYet
30.0,4.0,11.7,6.0,10.0,NotYet
30.0,4.0,11.7,6.0,12.0,NotYet
30.0,4.0,11.7,6.0,14.0,NotYet
